id,Period,StartH,StartM,StartS,EndH,EndM,EndS,Start,End,Total,Comment
N0vMc86L09c,3,2,8,39,2,8,55,7719,7735,16,Almost goal
N0vMc86L09c,3,2,10,12,2,10,55,7812,7855,43,Goal
